Código;Descrição Resumida
"2004003009";"VIGA TIPO (I), AC, A36, ESP. ALMA (1) 6.86mm DIM 8 x 4 pol"
"2004003011";"VIGA TIPO (I), AC, A36, ALMA (1) 7.87mm DIM 10 x 4.5/8 pol"
"2004003013";"VIGA TIPO (I), AC, A36, ALMA (1) 11.68mm DIM 12 x 2.5/8 pol"
"2004003015";"VIGA TIPO (I) (AC), A36, ALMA (3) 8.86mm DIM 3 x 2.3/8 pol"
"2004003016";"VIGA TIPO (I) (AC), A36, ALMA (3) 8.28mm DIM 4 x 2.5/8 pol"
"2004003019";"VIGA TIPO (I), AC, A36, ESP. ALMA (3) 11.81mm DIM 6 x 3.3/8 pol"
"2004003021";"VIGA TIPO (I) (AC), A36, ESP. ALMA (4) 13.51mm DIM 8 x 4 pol"
"2008005001";"PERFIL (T) ASTM A572 Gr. 50,  3 x 3/8 pol"
"2008005002";"PERFIL (T) ASTM A572 Gr. 50,  6.1/2 x 3/8 pol"
"2008005003";"PERFIL (T) ASTM A572 GR.50,  ESP. 1/2 DIMENSOES 6 x 6 pol"
"2008006003";"PERFIL (T) ASTM A36,  ESP. 1/4 DIMENSOES 6.3/4 x 3 pol"
